City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Coffs Harbour,AU,2021-05-27 16:03:35,-30.3,153.1333,49.14,95,0,3.44
229,Belen,TR,2021-05-27 16:03:36,36.4891,36.2233,67.03,54,0,6.64
230,Laguna,US,2021-05-27 16:03:36,38.421,-121.4238,71.42,61,1,4.0
231,Sola,VU,2021-05-27 16:03:36,-13.8833,167.55,76.01,70,100,9.66
232,Jalu,LY,2021-05-27 16:03:36,29.0331,21.5482,97.95,10,12,16.49
233,Xam Nua,LA,2021-05-27 16:03:37,20.4197,104.0439,68.2,99,32,2.13
234,Inhambane,MZ,2021-05-27 16:03:37,-23.865,35.3833,69.22,64,0,6.73
235,Pacific Grove,US,2021-05-27 16:00:45,36.6177,-121.9166,60.39,78,9,3.0
236,Nikolskoye,RU,2021-05-27 16:03:38,59.7035,30.7861,56.39,83,100,4.88
237,Dingle,PH,2021-05-27 16:03:38,10.9995,122.6711,79.47,84,44,4.21
238,Banda Aceh,ID,2021-05-27 16:03:38,5.5577,95.3222,82.33,71,100,9.4
239,Rincon,US,2021-05-27 16:03:39,32.296,-81.2354,91.36,46,20,1.01
240,Bilibino,RU,2021-05-27 16:03:39,68.0546,166.4372,36.39,65,98,8.63
241,Bengkulu,ID,2021-05-27 16:03:39,-3.8004,102.2655,77.76,90,100,7.02
242,San Jose,US,2021-05-27 16:00:35,37.3394,-121.895,63.86,69,1,1.01
243,Muzhi,RU,2021-05-27 16:03:40,65.3667,64.6667,43.83,41,77,9.71
244,Chambersburg,US,2021-05-27 16:00:48,39.9376,-77.6611,79.41,58,29,8.66
245,Saint-Pierre,RE,2021-05-27 16:03:40,-21.3393,55.4781,74.88,82,75,0.0
246,Labuhan,ID,2021-05-27 16:03:41,-6.8844,112.2051,80.83,85,77,9.35
247,Hearst,CA,2021-05-27 16:03:41,49.6835,-83.6665,41.13,28,10,9.13
248,San Cataldo,IT,2021-05-27 16:03:41,37.4841,13.9854,71.71,35,0,1.01
249,Nhulunbuy,AU,2021-05-27 16:03:42,-12.2333,136.7667,75.81,69,57,12.66
250,Quthing,LS,2021-05-27 16:03:42,-30.4,27.7003,56.52,40,99,7.07
251,Bani,DO,2021-05-27 16:03:43,18.2833,-70.3333,84.85,52,49,11.86
252,San Miguel,SV,2021-05-27 16:03:43,13.4833,-88.1833,92.91,41,100,3.18
253,Katsuura,JP,2021-05-27 16:03:43,35.1333,140.3,64.11,90,100,12.95
254,Vargashi,RU,2021-05-27 16:03:44,55.3556,65.8467,50.83,62,28,6.44
255,Constitucion,CL,2021-05-27 16:03:44,-35.3333,-72.4167,60.4,82,100,3.02
256,Henties Bay,NA,2021-05-27 16:03:44,-22.116,14.2845,64.85,62,2,10.31
257,Sao Felix Do Xingu,BR,2021-05-27 16:03:44,-6.6447,-51.995,91.47,31,9,5.14
258,Asfi,MA,2021-05-27 16:03:45,32.2994,-9.2372,67.62,77,26,13.22
259,Samana,DO,2021-05-27 16:03:45,19.2056,-69.3369,84.29,63,26,7.45
260,Posse,BR,2021-05-27 15:58:51,-14.0931,-46.3694,88.43,27,0,6.67
261,Darasun,RU,2021-05-27 16:03:46,51.6667,114.0,46.94,51,78,4.03
